URL,Place Name,Area Type,Parent area,Area code
/reports/localarea?compare=1119879341,Welney,Built-up area,East,E34000173
/reports/localarea?compare=1119879342,Bedlington,Built-up area,North East,E34000174
/reports/localarea?compare=1119879343,Brigg,Built-up area,Yorkshire and The Humber,E34000175
/reports/localarea?compare=1119879344,Steeple Aston,Built-up area,South East,E34000176
/reports/localarea?compare=1119879345,Great Barford,Built-up area,East,E34000177
/reports/localarea?compare=1119879346,Acton Turville,Built-up area,South West,E34000178
/reports/localarea?compare=1119879347,Abbotsbury,Built-up area,South West,E34000179
/reports/localarea?compare=1119879348,Clive,Built-up area,West Midlands,E34000180
/reports/localarea?compare=1119879349,Widnes,Built-up area,North West,E34000181
/reports/localarea?compare=1119879350,Hethersett,Built-up area,East,E34000182
/reports/localarea?compare=1119879351,Pevensey Bay,Built-up area,South East,E34000183
/reports/localarea?compare=1119879352,Coningsby Airfield,Built-up area,East Midlands,E34000184
/reports/localarea?compare=1119879353,Williton,Built-up area,South West,E34000185
/reports/localarea?compare=1119879354,Salthouse,Built-up area,East,E34000186
/reports/localarea?compare=1119879355,Cople,Built-up area,East,E34000187
/reports/localarea?compare=1119879356,Amble,Built-up area,North East,E34000188
/reports/localarea?compare=1119879357,Cholsey,Built-up area,South East,E34000189
/reports/localarea?compare=1119879358,Terwick Common,Built-up area,South East,E34000190
/reports/localarea?compare=1119879359,Overton (Lancaster),Built-up area,North West,E34000191
/reports/localarea?compare=1119879360,Little Plumstead,Built-up area,East,E34000192
/reports/localarea?compare=1119879361,Skelton (Redcar and Cleveland),Built-up area,North East,E34000193
/reports/localarea?compare=1119879362,Chillington,Built-up area,South West,E34000194
/reports/localarea?compare=1119879363,Steeple Morden,Built-up area,East,E34000195
/reports/localarea?compare=1119879364,Ellingham,Built-up area,East,E34000196
/reports/localarea?compare=1119879365,Honington,Built-up area,East,E34000197
/reports/localarea?compare=1119879366,Holberrow Green,Built-up area,West Midlands,E34000198
/reports/localarea?compare=1119879367,Saxby All Saints,Built-up area,Yorkshire and The Humber,E34000199
/reports/localarea?compare=1119879368,Wawne,Built-up area,Yorkshire and The Humber,E34000200
/reports/localarea?compare=1119879369,Barlborough,Built-up area,East Midlands,E34000201
/reports/localarea?compare=1119879370,Hamsterley (nr Witton-le-Wear),Built-up area,North East,E34000202
/reports/localarea?compare=1119879371,Marton (Rugby),Built-up area,West Midlands,E34000203
/reports/localarea?compare=1119879372,Snailbeach,Built-up area,West Midlands,E34000204
/reports/localarea?compare=1119879373,Bigbury-on-Sea,Built-up area,South West,E34000205
/reports/localarea?compare=1119879374,West Tanfield,Built-up area,Yorkshire and The Humber,E34000206
/reports/localarea?compare=1119879375,Newquay Cornwall Airport,Built-up area,South West,E34000207
/reports/localarea?compare=1119879376,East Budleigh,Built-up area,South West,E34000208
/reports/localarea?compare=1119879377,Woodton,Built-up area,East,E34000209
/reports/localarea?compare=1119879378,East Garston,Built-up area,South East,E34000210
/reports/localarea?compare=1119879379,Bielby,Built-up area,Yorkshire and The Humber,E34000211
/reports/localarea?compare=1119879380,Abbots Bromley,Built-up area,West Midlands,E34000212
/reports/localarea?compare=1119879381,St Nicholas at Wade,Built-up area,South East,E34000213
/reports/localarea?compare=1119879382,New Addington,Built-up area,London,E34000214
/reports/localarea?compare=1119879383,Iwerne Courtney,Built-up area,South West,E34000215
/reports/localarea?compare=1119879384,Three Oaks,Built-up area,South East,E34000216
/reports/localarea?compare=1119879385,Shillington,Built-up area,East,E34000217
/reports/localarea?compare=1119879386,Bishop's Nympton,Built-up area,South West,E34000218
/reports/localarea?compare=1119879387,Urchfont,Built-up area,South West,E34000219
/reports/localarea?compare=1119879388,Chippenham (East Cambridgeshire),Built-up area,East,E34000220
/reports/localarea?compare=1119879389,Heddington,Built-up area,South West,E34000221
/reports/localarea?compare=1119879390,Tillingham,Built-up area,East,E34000222
/reports/localarea?compare=1119879391,Sicklesmere,Built-up area,East,E34000223
/reports/localarea?compare=1119879392,Cross,Built-up area,South West,E34000224
/reports/localarea?compare=1119879393,Great Bardfield,Built-up area,East,E34000225
/reports/localarea?compare=1119879394,Gunthorpe,Built-up area,East Midlands,E34000226
/reports/localarea?compare=1119879395,Maulden,Built-up area,East,E34000227
/reports/localarea?compare=1119879396,Wicken (East Cambridgeshire),Built-up area,East,E34000228
/reports/localarea?compare=1119879397,Rushton,Built-up area,East Midlands,E34000229
/reports/localarea?compare=1119879398,Malpas,Built-up area,North West,E34000230
/reports/localarea?compare=1119879399,Seaford,Built-up area,South East,E34000231
/reports/localarea?compare=1119879400,Saltfleetby St Peter,Built-up area,East Midlands,E34000232
/reports/localarea?compare=1119879401,Broughton Gifford,Built-up area,South West,E34000233
/reports/localarea?compare=1119879402,Ryhill,Built-up area,Yorkshire and The Humber,E34000234
/reports/localarea?compare=1119879403,Fordham (Colchester),Built-up area,East,E34000235
/reports/localarea?compare=1119879404,Whitwell (North Hertfordshire),Built-up area,East,E34000236
/reports/localarea?compare=1119879405,Skinningrove,Built-up area,North East,E34000237
/reports/localarea?compare=1119879406,North Luffenham,Built-up area,East Midlands,E34000238
/reports/localarea?compare=1119879407,Instow,Built-up area,South West,E34000239
/reports/localarea?compare=1119879408,Watchet,Built-up area,South West,E34000240
/reports/localarea?compare=1119879409,Robertsbridge,Built-up area,South East,E34000241
/reports/localarea?compare=1119879410,Budleigh Salterton,Built-up area,South West,E34000242
/reports/localarea?compare=1119879411,Market Weston,Built-up area,East,E34000243
/reports/localarea?compare=1119879412,Brancaster Staithe,Built-up area,East,E34000244
/reports/localarea?compare=1119879413,Sedgebrook,Built-up area,East Midlands,E34000245
/reports/localarea?compare=1119879414,Densole,Built-up area,South East,E34000246
/reports/localarea?compare=1119879415,Cherry Burton,Built-up area,Yorkshire and The Humber,E34000247
/reports/localarea?compare=1119879416,Pulloxhill,Built-up area,East,E34000248
/reports/localarea?compare=1119879417,Burton on the Wolds,Built-up area,East Midlands,E34000249
/reports/localarea?compare=1119879418,Great Dunmow,Built-up area,East,E34000250
/reports/localarea?compare=1119879419,Aspatria,Built-up area,North West,E34000251
/reports/localarea?compare=1119879420,Old Wives Lees,Built-up area,South East,E34000252
/reports/localarea?compare=1119879421,Middleton Tyas,Built-up area,Yorkshire and The Humber,E34000253
/reports/localarea?compare=1119879422,Edington,Built-up area,South West,E34000254
/reports/localarea?compare=1119879423,Northmoor Green,Built-up area,South West,E34000255
/reports/localarea?compare=1119879424,Nunney,Built-up area,South West,E34000256
/reports/localarea?compare=1119879425,Rillington,Built-up area,Yorkshire and The Humber,E34000257
/reports/localarea?compare=1119879426,Ingrave,Built-up area,East,E34000258
/reports/localarea?compare=1119879427,Punnett's Town,Built-up area,South East,E34000259
/reports/localarea?compare=1119879428,Healing,Built-up area,Yorkshire and The Humber,E34000260
/reports/localarea?compare=1119879429,Shipton Bellinger,Built-up area,South East,E34000261
/reports/localarea?compare=1119879430,Weedon Lois,Built-up area,East Midlands,E34000262
/reports/localarea?compare=1119879431,Wingham,Built-up area,South East,E34000263
/reports/localarea?compare=1119879432,Brooke,Built-up area,East,E34000264
/reports/localarea?compare=1119879433,Weobley,Built-up area,West Midlands,E34000265
/reports/localarea?compare=1119879434,Stoke Canon,Built-up area,South West,E34000266
/reports/localarea?compare=1119879435,Higher Wincham,Built-up area,North West,E34000267
/reports/localarea?compare=1119879436,Keyingham,Built-up area,Yorkshire and The Humber,E34000268
/reports/localarea?compare=1119879437,Dearham,Built-up area,North West,E34000269
/reports/localarea?compare=1119879438,Tresillian,Built-up area,South West,E34000270
/reports/localarea?compare=1119879439,Wideopen,Built-up area,North East,E34000271
/reports/localarea?compare=1119879440,Appleshaw,Built-up area,South East,E34000272
/reports/localarea?compare=1119879441,Frodsham,Built-up area,North West,E34000273
/reports/localarea?compare=1119879442,North Pickenham,Built-up area,East,E34000274
/reports/localarea?compare=1119879443,Tilston,Built-up area,North West,E34000275
/reports/localarea?compare=1119879444,Postwick,Built-up area,East,E34000276
/reports/localarea?compare=1119879445,Stagsden,Built-up area,East,E34000277
/reports/localarea?compare=1119879446,Rothwell,Built-up area,East Midlands,E34000278
/reports/localarea?compare=1119879447,Chew Magna,Built-up area,South West,E34000279
/reports/localarea?compare=1119879448,Mursley,Built-up area,South East,E34000280
/reports/localarea?compare=1119879449,Sandhurst (Tunbridge Wells),Built-up area,South East,E34000281
/reports/localarea?compare=1119879450,Chacombe,Built-up area,East Midlands,E34000282
/reports/localarea?compare=1119879451,Leigh (Sevenoaks),Built-up area,South East,E34000283
/reports/localarea?compare=1119879452,Shipdham,Built-up area,East,E34000284
/reports/localarea?compare=1119879453,East Ayton,Built-up area,Yorkshire and The Humber,E34000285
/reports/localarea?compare=1119879454,Orsett,Built-up area,East,E34000286
/reports/localarea?compare=1119879455,Balsham,Built-up area,East,E34000287
/reports/localarea?compare=1119879456,Port Gaverne,Built-up area,South West,E34000288
/reports/localarea?compare=1119879457,Ponsanooth,Built-up area,South West,E34000289
/reports/localarea?compare=1119879458,Chard,Built-up area,South West,E34000290
/reports/localarea?compare=1119879459,Offord D'Arcy,Built-up area,East,E34000291
/reports/localarea?compare=1119879460,Greatham (Hartlepool),Built-up area,North East,E34000292
/reports/localarea?compare=1119879461,Dorney,Built-up area,South East,E34000293
/reports/localarea?compare=1119879462,Silkstone,Built-up area,Yorkshire and The Humber,E34000294
/reports/localarea?compare=1119879463,Wrington,Built-up area,South West,E34000295
/reports/localarea?compare=1119879464,Comberbach,Built-up area,North West,E34000296
/reports/localarea?compare=1119879465,Gilsland,Built-up area,North East,E34000297
/reports/localarea?compare=1119879466,Hagworthingham,Built-up area,East Midlands,E34000298
/reports/localarea?compare=1119879467,Salisbury District Hospital,Built-up area,South West,E34000299
/reports/localarea?compare=1119879468,Yelling,Built-up area,East,E34000300
/reports/localarea?compare=1119879469,Somerton (Cherwell),Built-up area,South East,E34000301
/reports/localarea?compare=1119879470,Yarnton,Built-up area,South East,E34000302
/reports/localarea?compare=1119879471,Fenstanton,Built-up area,East,E34000303
/reports/localarea?compare=1119879472,Metheringham,Built-up area,East Midlands,E34000304
/reports/localarea?compare=1119879473,Hurley (North Warwickshire),Built-up area,West Midlands,E34000305
/reports/localarea?compare=1119879474,Hook (Hart),Built-up area,South East,E34000306
/reports/localarea?compare=1119879475,Bow Brickhill,Built-up area,South East,E34000307
/reports/localarea?compare=1119879476,Burton Overy,Built-up area,East Midlands,E34000308
/reports/localarea?compare=1119879477,Hurst Green (Ribble Valley),Built-up area,North West,E34000309
/reports/localarea?compare=1119879478,Rainworth,Built-up area,East Midlands,E34000310
/reports/localarea?compare=1119879479,Quadring,Built-up area,East Midlands,E34000311
/reports/localarea?compare=1119879480,Robertson Barracks,Built-up area,East,E34000312
/reports/localarea?compare=1119879481,Beverley,Built-up area,Yorkshire and The Humber,E34000313
/reports/localarea?compare=1119879482,Clavering,Built-up area,East,E34000314
/reports/localarea?compare=1119879483,Tedburn St Mary,Built-up area,South West,E34000316
/reports/localarea?compare=1119879484,Lighthorne,Built-up area,West Midlands,E34000317
/reports/localarea?compare=1119879485,Scotton (Harrogate),Built-up area,Yorkshire and The Humber,E34000318
/reports/localarea?compare=1119879486,Abingworth,Built-up area,South East,E34000319
/reports/localarea?compare=1119879487,Tasburgh,Built-up area,East,E34000320
/reports/localarea?compare=1119879488,Portesham,Built-up area,South West,E34000321
/reports/localarea?compare=1119879489,Tolleshunt Major,Built-up area,East,E34000322
/reports/localarea?compare=1119879490,University of Lancaster,Built-up area,North West,E34000323
/reports/localarea?compare=1119879491,Great Comberton,Built-up area,West Midlands,E34000324
/reports/localarea?compare=1119879492,High Cross,Built-up area,East,E34000325
/reports/localarea?compare=1119879493,Sherborne St John,Built-up area,South East,E34000326
/reports/localarea?compare=1119879494,Haverhill,Built-up area,East,E34000327
/reports/localarea?compare=1119879495,Market Lavington,Built-up area,South West,E34000328
/reports/localarea?compare=1119879496,Pensford,Built-up area,South West,E34000329
/reports/localarea?compare=1119879497,Piddington,Built-up area,South East,E34000330
/reports/localarea?compare=1119879498,Brandeston,Built-up area,East,E34000331
/reports/localarea?compare=1119879499,Foxley,Built-up area,East,E34000332
/reports/localarea?compare=1119879500,Berinsfield,Built-up area,South East,E34000333
/reports/localarea?compare=1119879501,Harlton,Built-up area,East,E34000334
/reports/localarea?compare=1119879502,Brierley,Built-up area,Yorkshire and The Humber,E34000335
/reports/localarea?compare=1119879503,Hilton (Stockton-on-Tees),Built-up area,North East,E34000336
/reports/localarea?compare=1119879504,Markyate,Built-up area,East,E34000337
/reports/localarea?compare=1119879505,Henfield,Built-up area,South East,E34000338
/reports/localarea?compare=1119879506,Lacock,Built-up area,South West,E34000339
/reports/localarea?compare=1119879507,Dorrington (Shropshire),Built-up area,West Midlands,E34000340
/reports/localarea?compare=1119879508,South Brent,Built-up area,South West,E34000341
/reports/localarea?compare=1119879509,RAF Tern Hill,Built-up area,West Midlands,E34000342
/reports/localarea?compare=1119879510,Littlebury,Built-up area,East,E34000343
/reports/localarea?compare=1119879511,Chipping Warden,Built-up area,East Midlands,E34000344
/reports/localarea?compare=1119879512,Warmington (East Northamptonshire),Built-up area,East Midlands,E34000345
/reports/localarea?compare=1119879513,Widford,Built-up area,East,E34000346
/reports/localarea?compare=1119879514,Barkway,Built-up area,East,E34000347
/reports/localarea?compare=1119879515,Sheriff Hutton,Built-up area,Yorkshire and The Humber,E34000348
/reports/localarea?compare=1119879516,Airmyn,Built-up area,Yorkshire and The Humber,E34000349
/reports/localarea?compare=1119879517,Over Wallop,Built-up area,South East,E34000350
/reports/localarea?compare=1119879518,Washbrook,Built-up area,East,E34000351
/reports/localarea?compare=1119879519,Rolleston,Built-up area,East Midlands,E34000352
/reports/localarea?compare=1119879520,St Leonards,Built-up area,South West,E34000353
/reports/localarea?compare=1119879521,Mullion,Built-up area,South West,E34000354
/reports/localarea?compare=1119879522,Ingleton,Built-up area,Yorkshire and The Humber,E34000355
/reports/localarea?compare=1119879523,Wootton (Isle of Wight),Built-up area,South East,E34000356
/reports/localarea?compare=1119879524,Kingston (Canterbury),Built-up area,South East,E34000357
/reports/localarea?compare=1119879525,Luddenden Foot,Built-up area,Yorkshire and The Humber,E34000358
